,grid_demand_kwh
1518,3.177317553
1519,6.519690564
1520,7.485750446
1521,4.634902878
1522,5.37522515
1523,7.469973086
1524,7.357104281
1525,8.21514993
1526,5.906800814
1527,4.255032598
1528,4.626407377
1529,5.702908779
1530,8.152040491
1531,12.24444492
1532,9.919104798
1533,7.616823897
1534,8.398410034
1535,7.469973086
1536,3.538983188
1537,2.036493069
1538,1.918769691
1539,1.809541815
1540,1.753714234
1541,1.996442848
1542,2.91881158
1543,3.006193881
1544,3.494078394
1545,3.429755311
1546,2.896966004
1547,3.506214825
1548,3.214940488
1549,2.973425518
1550,3.570537907
1551,2.782883556
1552,1.957606269
1553,6.005105903
1554,7.570705461
1555,11.63155517
1556,8.502783337
1557,5.590039973
1558,5.966269324
1559,5.591253616
1560,3.024398527
1561,2.12387537
1562,1.793764455
1563,1.788909883
1564,1.785268954
1565,2.784097199
1566,3.605733556
1567,4.598493586
1568,3.151831049
1569,4.517179501
1570,3.071730606
1571,2.622682671
1572,3.066876034
1573,4.268382672
1574,4.941954575
1575,2.229462317
1576,2.447918069
1577,3.059594176
1578,6.675036876
1579,9.281942187
1580,9.569575595
1581,7.375308927
1582,6.3995399
1583,5.264783631
1584,3.58752891
1585,3.406696093
1586,1.951538054
1587,1.802259957
1588,1.802259957
1589,1.816823673
1590,2.024356638
1591,2.640887317
1592,4.24410981
1593,3.861812244
1594,2.762251624
1595,2.413936063
1596,2.845992995
1597,4.931031787
1598,5.127641964
1599,5.4978031
1600,3.858171315
1601,4.279305459
1602,6.604645578
1603,8.972463205
1604,10.24436114
1605,10.02105082
1606,6.598577363
1607,6.069428985
1608,5.094873601
1609,3.495292037
1610,2.775601697
1611,2.580205163
1612,1.786482597
1613,1.788909883
1614,2.572923305
1615,2.485541004
1616,5.462607451
1617,4.831513055
1618,3.865453173
1619,5.34731136
1620,5.518435032
1621,5.293911065
1622,5.024482303
1623,3.946767259
1624,3.263486211
1625,3.662774781
1626,9.267378471
1627,12.13278976
1628,9.291651332
1629,7.460263942
1630,5.401925298
1631,8.244277364
1632,4.921322642
1633,3.185813055
1634,2.983134662
1635,2.12387537
1636,1.835028319
1637,1.900565045
1638,3.616656344
1639,2.362963054
1640,2.941870798
1641,4.105754501
1642,4.70286689
1643,5.579117186
1644,4.526888645
1645,4.941954575
1646,3.450387244
1647,3.875162318
1648,3.457669102
1649,6.338857746
1650,13.06365399
1651,7.888679945
1652,11.19100273
1653,10.11450133
1654,7.017284222
1655,4.864281418
1656,2.119020797
1657,2.106884367
1658,2.041347641
1659,1.837455606
1660,1.821678246
1661,1.870223968
