,X,Y,Z,X_v,Y_v,Z_v,irrad_kWh
0,12.655210256,10.6117521318,6.12081354386,0.283040873106,-0.12281142592,0.951212498769,24.37062340425532
1,12.6335267006,10.7835828498,6.14945079155,0.283040873106,-0.12281142592,0.951212498769,24.333497234042557
2,12.6566438681,11.6418514446,6.25338349512,0.283040873106,-0.12281142592,0.951212498769,24.347653617021276
3,12.6128440194,10.966578912,6.17923178319,0.283040873106,-0.12281142592,0.951212498769,24.409617872340426
4,12.6164882878,11.1443336964,6.20109739331,0.283040873106,-0.12281142592,0.951212498769,24.367332978723407
5,12.6200485015,11.3179885855,6.22245867545,0.283040873106,-0.12281142592,0.951212498769,24.3415185106383
6,12.6054097564,10.4547392923,6.11536008963,0.283040873106,-0.12281142592,0.951212498769,24.371950638297875
7,12.6144212572,11.4946677573,6.24694422539,0.283040873106,-0.12281142592,0.951212498769,24.384933617021275
8,12.4901847506,10.6107432364,6.16978794158,0.283040873106,-0.12281142592,0.951212498769,24.377201489361703
9,12.469898192,10.78282233,6.19804156962,0.283040873106,-0.12281142592,0.951212498769,24.383529574468085
10,12.445037909,10.9639193158,6.22882044953,0.283040873106,-0.12281142592,0.951212498769,24.355185957446807
11,12.4486821773,11.1416741002,6.25068605966,0.283040873106,-0.12281142592,0.951212498769,24.37783914893617
12,12.4527069989,11.313638749,6.27169086639,0.283040873106,-0.12281142592,0.951212498769,24.40940404255319
13,12.4560835552,11.4518656787,6.28853267924,0.283040873106,-0.12281142592,0.951212498769,24.407552765957448
14,12.4361272897,10.456233565,6.16592436522,0.283040873106,-0.12281142592,0.951212498769,24.36879021276596
15,12.3216753455,10.620784784,6.22122572862,0.283040873106,-0.12281142592,0.951212498769,24.42776893617021
16,12.3204128971,11.3141253009,6.31111885148,0.283040873106,-0.12281142592,0.951212498769,24.440459999999998
17,12.3002538159,10.7935270698,6.24990270134,0.283040873106,-0.12281142592,0.951212498769,24.42257
18,12.2925497838,11.1647408254,6.30012265395,0.283040873106,-0.12281142592,0.951212498769,24.41580063829787
19,12.2816087063,10.9762566679,6.27904299401,0.283040873106,-0.12281142592,0.951212498769,24.408983404255324
20,12.2683211792,10.4535739688,6.21551303156,0.283040873106,-0.12281142592,0.951212498769,24.432558723404256
21,12.2047007829,11.2223921502,6.33370621111,0.283040873106,-0.12281142592,0.951212498769,24.428901276595745
22,12.1571098697,10.6233431703,6.27052381404,0.283040873106,-0.12281142592,0.951212498769,24.437443829787235
23,12.1338275063,10.7965726254,6.29981739134,0.283040873106,-0.12281142592,0.951212498769,24.440980000000003
24,12.1455918253,11.0991786245,6.3353864058,0.283040873106,-0.12281142592,0.951212498769,24.441546170212764
25,12.1064914655,10.4597249587,6.26446091162,0.283040873106,-0.12281142592,0.951212498769,24.41996489361702
26,12.0966116577,10.9553345633,6.33138908147,0.283040873106,-0.12281142592,0.951212498769,24.44608510638298
27,12.0080791412,11.0248632865,6.36670951978,0.283040873106,-0.12281142592,0.951212498769,24.408675531914895
28,11.9928972868,10.629968354,6.32024195921,0.283040873106,-0.12281142592,0.951212498769,24.386769361702125
