,manufacturer,model number,description,safety certification,nameplate Pmax [W],PTC [W],Notes,Family,Technology,area [m2],N_s,N_p,BIPV,Nameplate Isc [A],Nameplate Voc [V],Nameplate Ipmax [A],Nameplate Vpmax [V],Average NOCT [C],gamma_pmax [%/C],alpha_Isc [%/C],beta_Voc [%/C],alpha_Ipmax [%/C],beta_Vpmax [%/C],Ipmax [A],Vpmax [V],Ipmax_NOCT [A],Vpmax_NOCT [V],mounting,type,short length [m],long length [m],geometric multiplier,beta_Voc [V/C],alpha_Isc [A/C],tech_combined,cell_type,year_added,bifacial,heterojunction,STC [W],breakdown_factor,breakdown_exp,breakdown_voltage,eg_ref,dEgdT,photocurrent (I_L),saturation_current (I_o),resistance_series (R_s),resistance_shunt (R_sh),a_ref,adjust
86,REC Solar,REC350AA,"350 W, 120 half-cut cell monocrystalline HJT module, white backsheet, 1000V max system Vdc","UL 61730, UL 1703",350.0,332.4,,Monocrystalline,Mono-c-Si,1.68,60,2.0,N,10.16,43.8,9.45,37.1,44.0,-0.279,0.037,-0.241,,,1.88,34.7,7.51,34.5,,,,,,-0.105558,0.0037592,Mono-c-SiMonocrystalline,monoSi,2019,False,True,350.59499999999997,0.002,3,-15,1.121,-0.0002677,10.177226191070686,2.209290952048211e-12,0.19597760087655164,115.58750376093874,1.5040920770914217,-0.3307074916290511
87,REC Solar,REC350AA Black,"350 W, 120 half-cut cell monocrystalline HJT module, black backsheet, 1000V max system Vdc",UL 61730,350.0,331.3,,Monocrystalline,Mono-c-Si,1.69,60,2.0,N,10.44,43.2,9.73,36.0,46.0,-0.266,0.037,-0.235,,,1.81,34.65,7.35,34.2,,,,,,-0.10152,0.0038628,Mono-c-SiMonocrystalline,monoSi,2019,False,True,350.28000000000003,0.002,3,-15,1.121,-0.0002677,10.463187403444412,1.0423954933847031e-12,0.2636054683143311,118.68690241737569,1.4447215255478452,-4.18933792417989
88,REC Solar,REC355AA,"355 W, 120 half-cut cell monocrystalline HJT module, white backsheet, 1000V max system Vdc","UL 61730, UL 1703",355.0,337.2,,Monocrystalline,Mono-c-Si,1.68,60,2.0,N,10.19,44.0,9.5,37.4,44.0,-0.279,0.037,-0.241,,,1.89,34.99,7.55,34.8,,,,,,-0.10604,0.0037703,Mono-c-SiMonocrystalline,monoSi,2019,False,True,355.3,0.002,3,-15,1.121,-0.0002677,10.204828494728421,2.2543111840311916e-12,0.1810203650547571,124.3954665918881,1.5117281802608704,-0.19775828583526311
89,REC Solar,REC355AA Black,"355 W, 120 half-cut cell monocrystalline HJT module, black backsheet, 1000V max system Vdc",UL 61730,355.0,336.2,,Monocrystalline,Mono-c-Si,1.69,60,2.0,N,10.47,43.6,9.77,36.4,46.0,-0.266,0.037,-0.235,,,1.81,35.03,7.38,34.6,,,,,,-0.10246,0.0038739,Mono-c-SiMonocrystalline,monoSi,2019,False,True,355.628,0.002,3,-15,1.121,-0.0002677,10.491681695354474,1.0552202001436513e-12,0.2575903186127351,124.3892874835973,1.4584927540204289,-4.119010279793565
90,REC Solar,REC360AA,"360 W, 120 half-cut cell monocrystalline HJT module, white backsheet, 1000V max system Vdc","UL 61730, UL 1703",360.0,342.1,,Monocrystalline,Mono-c-Si,1.68,60,2.0,N,10.23,44.1,9.55,37.7,44.0,-0.279,0.037,-0.241,,,1.9,35.27,7.59,35.1,,,,,,-0.106281,0.0037851,Mono-c-SiMonocrystalline,monoSi,2019,False,True,360.0350000000001,0.002,3,-15,1.121,-0.0002677,10.24232266224336,2.4054240043665842e-12,0.15540289544963978,129.01202594262088,1.518287640982106,0.302493332960174
91,REC Solar,REC360AA Black,"360 W, 120 half-cut cell monocrystalline HJT module, black backsheet, 1000V max system Vdc",UL 61730,360.0,341.0,,Monocrystalline,Mono-c-Si,1.69,60,2.0,N,10.49,43.9,9.82,36.7,46.0,-0.266,0.037,-0.235,,,1.82,35.32,7.42,34.9,,,,,,-0.103165,0.0038813,Mono-c-SiMonocrystalline,monoSi,2019,False,True,360.39400000000006,0.002,3,-15,1.121,-0.0002677,10.50885849719453,1.0333646741020125e-12,0.25329104828290105,140.89262096613768,1.4672302301563238,-4.315694083570896
92,REC Solar,REC365AA,"365 W, 120 half-cut cell monocrystalline HJT module, white backsheet, 1000V max system Vdc","UL 61730, UL 1703",365.0,346.9,,Monocrystalline,Mono-c-Si,1.68,60,2.0,N,10.26,44.3,9.6,38.0,44.0,-0.279,0.037,-0.241,,,1.91,35.55,7.63,35.3,,,,,,-0.106763,0.0037962,Mono-c-SiMonocrystalline,monoSi,2019,False,True,364.8,0.002,3,-15,1.121,-0.0002677,10.27033889461882,2.451360511034845e-12,0.14084631045895266,139.77153255886748,1.5258871345927372,0.42584994239878354
93,REC Solar,REC365AA Black,"365 W, 120 half-cut cell monocrystalline HJT module, black backsheet, 1000V max system Vdc",UL 61730,365.0,345.9,,Monocrystalline,Mono-c-Si,1.69,60,2.0,N,10.52,44.0,9.85,37.1,46.0,-0.266,0.037,-0.235,,,1.83,35.71,7.44,35.3,,,,,,-0.1034,0.0038924,Mono-c-SiMonocrystalline,monoSi,2019,False,True,365.435,0.002,3,-15,1.121,-0.0002677,10.536333117819757,1.1632354492734487e-12,0.21676900091194684,139.61877427625052,1.476298096654031,-3.384491305185251
94,REC Solar,REC370AA,"370 W, 120 half-cut cell monocrystalline HJT module, white backsheet, 1000V max system Vdc",UL 61730,370.0,351.8,,Monocrystalline,Mono-c-Si,1.69,60,2.0,N,10.55,44.1,9.9,37.4,45.5,-0.258,0.034,-0.236,,,1.89,35.65,7.67,35.3,,,,,,-0.104076,0.003587,Mono-c-SiMonocrystalline,monoSi,2019,False,True,370.26,0.002,3,-15,1.121,-0.0002677,10.564064967808921,7.939223266264848e-13,0.1972512244966847,147.95628735457254,1.460718177297075,-6.805762723531658
95,REC Solar,REC370AA Black,"370 W, 120 half-cut cell monocrystalline HJT module, black backsheet, 1000V max system Vdc",UL 61730,370.0,350.7,,Monocrystalline,Mono-c-Si,1.69,60,2.0,N,10.55,44.1,9.9,37.4,46.0,-0.266,0.037,-0.235,,,1.84,36.0,7.48,35.6,,,,,,-0.103635,0.0039035,Mono-c-SiMonocrystalline,monoSi,2020,False,True,370.26,0.002,3,-15,1.121,-0.0002677,10.563406897673348,1.2269089052631077e-12,0.19219671715436026,151.2412055128816,1.482057656085561,-2.9845137511374076
96,REC Solar,REC375AA,"375 W, 120 half-cut cell monocrystalline HJT module, white backsheet, 1000V max system Vdc",UL 61730,375.0,356.6,,Monocrystalline,Mono-c-Si,1.69,60,2.0,N,10.58,44.2,9.94,37.8,45.5,-0.258,0.034,-0.236,,,1.9,36.03,7.7,35.7,,,,,,-0.104312,0.0035972,Mono-c-SiMonocrystalline,monoSi,2020,False,True,375.732,0.002,3,-15,1.121,-0.0002677,10.591159998178522,8.791790679115208e-13,0.16149586973975744,153.10274022759904,1.4688205787226807,-6.0291520484084415
97,REC Solar,REC375AA Black,"375 W, 120 half-cut cell monocrystalline HJT module, black backsheet, 1000V max system Vdc",UL 61730,375.0,355.6,,Monocrystalline,Mono-c-Si,1.69,60,2.0,N,10.58,44.2,9.94,37.8,46.0,-0.266,0.037,-0.235,,,1.84,36.38,7.51,35.9,,,,,,-0.10387,0.0039146,Mono-c-SiMonocrystalline,monoSi,2020,False,True,375.732,0.002,3,-15,1.121,-0.0002677,10.590568973879094,1.358228309770637e-12,0.15639240139639132,156.5555583862233,1.4903338869571612,-2.183777741461503
98,SolarCity Corp,SC310B2,310 W HIT monocrystalline with Silicon Heterojunction (SHJ) technology,UL 1703,310.0,289.7,,Monocrystalline,Mono-c-Si,1.6,96,,N,5.78,69.9,5.34,58.1,49.2,-0.278,0.062,-0.262,0.031,-0.307,1.39,57.79,4.32,54.6,,,,,,-0.183138,0.0035836,Mono-c-SiMonocrystalline,monoSi,2018,False,True,310.254,0.002,3,-15,1.121,-0.0002677,,,,,,
99,REC Solar,REC380AA,"380 W, 120 half-cut cell monocrystalline HJT module, white backsheet, 1000V max system Vdc",UL 61730,380.0,361.5,,Monocrystalline,Mono-c-Si,1.69,60,2.0,N,10.61,44.3,9.98,38.1,45.5,-0.258,0.034,-0.236,,,1.9,36.32,7.73,35.9,,,,,,-0.104548,0.0036074,Mono-c-SiMonocrystalline,monoSi,2020,False,True,380.23800000000006,0.002,3,-15,1.121,-0.0002677,10.619141317448687,9.376103942715411e-13,0.13735931426818973,159.42803985542838,1.4751136246908667,-5.546740138752098
100,REC Solar,REC380AA Black,"380 W, 120 half-cut cell monocrystalline HJT module, black backsheet, 1000V max system Vdc",UL 61730,380.0,360.4,,Monocrystalline,Mono-c-Si,1.69,60,2.0,N,10.61,44.3,9.98,38.1,46.0,-0.266,0.037,-0.235,,,1.85,36.67,7.54,36.2,,,,,,-0.104105,0.0039257,Mono-c-SiMonocrystalline,monoSi,2020,False,True,380.23800000000006,0.002,3,-15,1.121,-0.0002677,10.618600162431324,1.4481725241456986e-12,0.13222826877580543,163.12970168902217,1.4967521378634099,-1.6865288308293696
101,REC Solar,REC385AA,"385 W, 120 half-cut cell monocrystalline HJT module, white backsheet, 1000V max system Vdc",UL 61730,385.0,366.4,,Monocrystalline,Mono-c-Si,1.69,60,2.0,N,10.64,44.4,10.03,38.4,45.5,-0.258,0.034,-0.236,,,1.91,36.6,7.77,36.2,,,,,,-0.104784,0.0036176,Mono-c-SiMonocrystalline,monoSi,2020,False,True,385.152,0.002,3,-15,1.121,-0.0002677,10.646936901988695,9.858350600407324e-13,0.11363552813444969,174.29711702743114,1.4806740618143428,-5.179646447002451
102,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN210AA01,210 W HIT Hybrid Amorphous/Monocrystalline Module,UL 1703,210.0,194.9,,Monocrystalline,Mono-c-Si,1.25,72,1.0,N,5.57,50.9,5.09,41.3,46.0,-0.336,0.036,-0.278,0.002,-0.337,1.02,40.48,4.09,38.4,Rack,Flat Plate,0.789,1.58,1.0,-0.141502,0.0020052,Mono-c-SiMonocrystalline,monoSi,1900,False,True,210.217,0.002,3,-15,1.121,-0.0002677,5.594527119700101,7.0055953703980345e-12,0.7579363099319463,172.12397168479418,1.8609382474207121,-0.2817722817284248
103,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN210AA01B,210 W HIT Hybrid Amorphous/Monocrystalline Module,UL 1703,210.0,194.9,,Monocrystalline,Mono-c-Si,1.25,72,1.0,N,5.57,50.9,5.09,41.3,46.0,-0.336,0.036,-0.278,0.002,-0.337,1.02,40.48,4.09,38.4,Rack,Flat Plate,0.789,1.58,1.0,-0.141502,0.0020052,Mono-c-SiMonocrystalline,monoSi,1900,False,True,210.217,0.002,3,-15,1.121,-0.0002677,5.594527119700101,7.0055953703980345e-12,0.7579363099319463,172.12397168479418,1.8609382474207121,-0.2817722817284248
104,Applied Materials,1/4 Size Tandem Junction,114 W Thin Film Tandem Junction Module,UL 1703,114.0,104.6,,Thin Film,Thin Film,1.43,106,1.0,N,1.3,137.6,1.08,106.0,44.1,-0.368,0.104,-0.401,0.165,-0.475,0.21,98.71,0.86,96.65,Rack,Flat Plate,1.1,1.3,1.0,-0.551776,0.001352,Thin FilmThin Film,amorphous,1900,False,True,114.48,0.002,3,-15,1.75,-0.0002677,1.3264833873149637,1.0767296808834035e-10,13.213264600152941,648.6045355174064,5.966995679787267,-4.032890231197161
105,Applied Materials,1/2-L Size Tandem Junction,229 W Thin Film Tandem Junction Module,UL 1703,229.0,210.1,,Thin Film,Thin Film,2.86,216,1.0,N,1.3,280.0,1.08,216.0,44.1,-0.368,0.104,-0.401,0.165,-0.475,0.21,201.14,0.86,196.95,Rack,Flat Plate,1.3,2.2,1.0,-1.1228,0.001352,Thin FilmThin Film,amorphous,1900,False,True,233.28000000000003,0.002,3,-15,1.75,-0.0002677,1.326126050807201,1.102650349899134e-10,26.54175848822553,1320.685165663061,12.154785368583992,-3.844860270369142
106,Applied Materials,1/2-P Size Tandem Junction,229 W Thin Film Tandem Junction Module,UL 1703,229.0,210.1,,Thin Film,Thin Film,2.86,106,1.0,N,2.6,137.6,2.16,106.0,44.1,-0.368,0.104,-0.401,0.165,-0.475,0.41,98.71,1.73,96.65,Rack,Flat Plate,1.1,2.6,1.0,-0.551776,0.002704,Thin FilmThin Film,amorphous,1900,False,True,228.96,0.002,3,-15,1.75,-0.0002677,2.65296677487534,2.153459341837392e-10,6.606632297517652,324.30226520730315,5.966995677794636,-4.032890300133393
107,Applied Materials,Full Size Tandem Junction,458 W Thin Film Tandem Junction Module,UL 1703,458.0,420.2,,Thin Film,Thin Film,5.72,216,1.0,N,2.6,280.0,2.16,216.0,44.1,-0.368,0.104,-0.401,0.165,-0.475,0.41,201.14,1.73,196.95,Rack,Flat Plate,2.2,2.6,1.0,-1.1228,0.002704,Thin FilmThin Film,amorphous,1900,False,True,466.56000000000006,0.002,3,-15,1.75,-0.0002677,2.6522521022664356,2.205300672226389e-10,13.270879857377063,660.342616889607,12.154785358355115,-3.844866987120009
108,REC Solar,REC420AA 72,"420 W, 144 half-cut cell monocrystalline HJT module, white backsheet, 1000V max system Vdc",UL 61730,420.0,397.9,,Monocrystalline,Mono-c-Si,2.06,72,2.0,N,10.2,52.5,9.45,44.5,45.2,-0.272,0.029,-0.235,1.905,42.065,1.9,42.06,7.62,41.4,,,,,,-0.123375,0.002958,Mono-c-SiMonocrystalline,monoSi,2020,False,True,420.525,0.002,3,-15,1.121,-0.0002677,10.220303744664456,1.2580939527183554e-12,0.2390686558446301,120.10101241692477,1.7687435515054177,-2.3239153408628814
109,REC Solar,REC420AA 72 XV,"420 W, 144 half-cut cell monocrystalline HJT module, white backsheet, 1500V max system Vdc",UL 61730,420.0,397.9,,Monocrystalline,Mono-c-Si,2.06,72,2.0,N,10.2,52.5,9.45,44.5,45.2,-0.272,0.029,-0.235,,,1.9,42.06,7.62,41.4,,,,,,-0.123375,0.002958,Mono-c-SiMonocrystalline,monoSi,2020,False,True,420.525,0.002,3,-15,1.121,-0.0002677,10.220303744664456,1.2580939527183554e-12,0.2390686558446301,120.10101241692477,1.7687435515054177,-2.3239153408628814
110,REC Solar,REC425AA 72,"425 W, 144 half-cut cell monocrystalline HJT module, white backsheet, 1000V max system Vdc",UL 61730,425.0,402.8,,Monocrystalline,Mono-c-Si,2.06,72,2.0,N,10.23,52.6,9.49,44.8,45.2,-0.272,0.029,-0.235,1.913,42.348,1.91,42.35,7.65,41.7,,,,,,-0.12361,0.0029667,Mono-c-SiMonocrystalline,monoSi,2020,False,True,425.152,0.002,3,-15,1.121,-0.0002677,10.247626776987524,1.3255795775472603e-12,0.2133478132853437,123.820034242021,1.774995421963577,-1.9263792293691706
111,REC Solar,REC425AA 72 XV,"425 W, 144 half-cut cell monocrystalline HJT module, white backsheet, 1500V max system Vdc",UL 61730,425.0,402.8,,Monocrystalline,Mono-c-Si,2.06,72,2.0,N,10.23,52.6,9.49,44.8,45.2,-0.272,0.029,-0.235,,,1.91,42.35,7.65,41.7,,,,,,-0.12361,0.0029667,Mono-c-SiMonocrystalline,monoSi,2020,False,True,425.152,0.002,3,-15,1.121,-0.0002677,10.247626776987524,1.3255795775472603e-12,0.2133478132853437,123.820034242021,1.774995421963577,-1.9263792293691706
112,REC Solar,REC430AA 72,"430 W, 144 half-cut cell monocrystalline HJT module, white backsheet, 1000V max system Vdc",UL 61730,430.0,407.6,,Monocrystalline,Mono-c-Si,2.06,72,2.0,N,10.25,52.7,9.54,45.1,45.2,-0.272,0.029,-0.235,1.923,42.632,1.92,42.63,7.69,42.0,,,,,,-0.123845,0.0029725,Mono-c-SiMonocrystalline,monoSi,2020,False,True,430.254,0.002,3,-15,1.121,-0.0002677,10.264223759745635,1.3568162695570404e-12,0.18847869134011133,135.8224984921034,1.7794429601378936,-1.7657375187946613
113,REC Solar,REC430AA 72 XV,"430 W, 144 half-cut cell monocrystalline HJT module, white backsheet, 1500V max system Vdc",UL 61730,430.0,407.6,,Monocrystalline,Mono-c-Si,2.06,72,2.0,N,10.25,52.7,9.54,45.1,45.2,-0.272,0.029,-0.235,1.923,,1.92,42.63,7.69,42.0,,,,,,-0.123845,0.0029725,Mono-c-SiMonocrystalline,monoSi,2020,False,True,430.254,0.002,3,-15,1.121,-0.0002677,10.264223759745635,1.3568162695570404e-12,0.18847869134011133,135.8224984921034,1.7794429601378936,-1.7657375187946613
114,REC Solar,REC435AA 72,"435 W, 144 half-cut cell monocrystalline HJT module, white backsheet, 1000V max system Vdc",UL 61730,435.0,412.4,,Monocrystalline,Mono-c-Si,2.06,72,2.0,N,10.27,52.9,9.59,45.4,45.2,-0.272,0.029,-0.235,1.933,42.916,1.93,42.92,7.73,42.2,,,,,,-0.124315,0.0029783,Mono-c-SiMonocrystalline,monoSi,2020,False,True,435.386,0.002,3,-15,1.121,-0.0002677,10.281870438995698,1.3526598061533914e-12,0.17432987422604415,150.82574532193138,1.7856767348036051,-1.8210080553180996
115,REC Solar,REC435AA 72 XV,"435 W, 144 half-cut cell monocrystalline HJT module, white backsheet, 1500V max system Vdc",UL 61730,435.0,412.4,,Monocrystalline,Mono-c-Si,2.06,72,2.0,N,10.27,52.9,9.59,45.4,45.2,-0.272,0.029,-0.235,,,1.93,42.92,7.73,42.2,,,,,,-0.124315,0.0029783,Mono-c-SiMonocrystalline,monoSi,2020,False,True,435.386,0.002,3,-15,1.121,-0.0002677,10.281870438995698,1.3526598061533914e-12,0.17432987422604415,150.82574532193138,1.7856767348036051,-1.8210080553180996
116,REC Solar,REC440AA 72,"440 W, 144 half-cut cell monocrystalline HJT module, white backsheet, 1000V max system Vdc",UL 61730,440.0,417.3,,Monocrystalline,Mono-c-Si,2.06,72,2.0,N,10.31,53.0,9.63,45.7,45.2,-0.272,0.029,-0.235,1.941,43.199,1.94,43.2,7.76,42.5,,,,,,-0.12455,0.0029899,Mono-c-SiMonocrystalline,monoSi,2020,False,True,440.09100000000007,0.002,3,-15,1.121,-0.0002677,10.320164759736821,1.4427726185785658e-12,0.14893023565087163,151.05824137600632,1.7927229707207415,-1.3247720032803934
117,REC Solar,REC440AA 72 XV,"440 W, 144 half-cut cell monocrystalline HJT module, white backsheet, 1500V max system Vdc",UL 61730,440.0,417.3,,Monocrystalline,Mono-c-Si,2.06,72,2.0,N,10.31,53.0,9.63,45.7,45.2,-0.272,0.029,-0.235,,,1.94,43.2,7.76,42.5,,,,,,-0.12455,0.0029899,Mono-c-SiMonocrystalline,monoSi,2020,False,True,440.09100000000007,0.002,3,-15,1.121,-0.0002677,10.320164759736821,1.4427726185785658e-12,0.14893023565087163,151.05824137600632,1.7927229707207415,-1.3247720032803934
118,REC Solar,REC445AA 72,"445 W, 144 half-cut cell monocrystalline HJT module, white backsheet, 1000V max system Vdc",UL 61730,445.0,422.1,,Monocrystalline,Mono-c-Si,2.06,72,2.0,N,10.38,53.2,9.68,46.0,45.2,-0.272,0.029,-0.235,1.951,43.483,1.95,43.48,7.8,42.8,,,,,,-0.12502,0.0030102,Mono-c-SiMonocrystalline,monoSi,2020,False,True,445.28,0.002,3,-15,1.121,-0.0002677,10.389706153795567,1.541528468571652e-12,0.133208995646747,142.45698184771723,1.8032396750144677,-0.8279506919279783
119,REC Solar,REC445AA 72 XV,"445 W, 144 half-cut cell monocrystalline HJT module, white backsheet, 1500V max system Vdc",UL 61730,445.0,422.1,,Monocrystalline,Mono-c-Si,2.06,72,2.0,N,10.38,53.2,9.68,46.0,45.2,-0.272,0.029,-0.235,,,1.95,43.48,7.8,42.8,,,,,,-0.12502,0.0030102,Mono-c-SiMonocrystalline,monoSi,2020,False,True,445.28,0.002,3,-15,1.121,-0.0002677,10.389706153795567,1.541528468571652e-12,0.133208995646747,142.45698184771723,1.8032396750144677,-0.8279506919279783
120,REC Solar,REC450AA 72,"450 W, 144 half-cut cell monocrystalline HJT module, white backsheet, 1000V max system Vdc",UL 61730,450.0,427.0,,Monocrystalline,Mono-c-Si,2.06,72,2.0,N,10.43,53.2,9.72,46.3,45.2,-0.272,0.029,-0.235,,,1.96,43.77,7.83,43.1,,,,,,-0.12502,0.0030247,Mono-c-SiMonocrystalline,monoSi,2020,False,True,450.036,0.002,3,-15,1.121,-0.0002677,10.437380658483612,1.708818807326238e-12,0.09755730578614424,137.86340362329227,1.8093428896167725,-0.011071417510805221
121,REC Solar,REC450AA 72 XV,"450 W, 144 half-cut cell monocrystalline HJT module, white backsheet, 1500V max system Vdc",UL 61730,450.0,427.0,,Monocrystalline,Mono-c-Si,2.06,72,2.0,N,10.43,53.2,9.72,46.3,45.2,-0.272,0.029,-0.235,1.959,,1.96,43.77,7.83,43.1,,,,,,-0.12502,0.0030247,Mono-c-SiMonocrystalline,monoSi,2020,False,True,450.036,0.002,3,-15,1.121,-0.0002677,10.437380658483612,1.708818807326238e-12,0.09755730578614424,137.86340362329227,1.8093428896167725,-0.011071417510805221
122,Du Pont Apollo,DA130-C2,130 W Tandem Junction Thin Film Module,UL 1703,130.0,119.6,,Thin Film,Thin Film,1.54,119,1.0,N,1.28,154.96,1.08,120.75,46.8,-0.316,-0.055,-0.31,0.01,-0.322,0.2,113.45,0.84,110.82,Rack,Flat Plate,1.1,1.4,1.0,-0.480376,-0.000704,Thin FilmThin Film,amorphous,1900,False,True,130.41,0.002,3,-15,1.75,-0.0002677,1.3098966517732542,6.7055351292604774e-15,17.54451007634461,751.153442486839,4.733854899096802,-41.96458608844345
123,Du Pont Apollo,DA133-C2,133W Tandem Junction Thin Film Module,UL 1703,133.0,122.4,,Thin Film,Thin Film,1.54,119,1.0,N,1.29,156.73,1.09,122.13,46.8,-0.316,-0.055,-0.31,0.01,-0.322,0.2,114.75,0.85,112.09,Rack,Flat Plate,1.1,1.4,1.0,-0.485863,-0.0007095,Thin FilmThin Film,amorphous,1900,False,True,133.1217,0.002,3,-15,1.75,-0.0002677,1.3197769444269332,6.645862125734559e-15,17.594008146290875,762.2095196833893,4.785228819678943,-42.05444099117689
124,Du Pont Apollo,DA136-C2,136W Tandem Junction Thin Film Module,UL 1703,136.0,125.2,,Thin Film,Thin Film,1.54,119,1.0,N,1.31,158.49,1.1,123.5,46.8,-0.316,-0.055,-0.31,0.01,-0.322,0.21,116.04,0.85,113.35,Rack,Flat Plate,1.1,1.4,1.0,-0.491319,-0.0007205,Thin FilmThin Film,amorphous,1900,False,True,135.85000000000002,0.002,3,-15,1.75,-0.0002677,1.3417990292015805,7.266282460805882e-15,17.575375449042387,724.0391425965142,4.85102466005017,-41.65721550313477
125,Panasonic Corporation of North America,EVPV350K,"350 W, 120 half-cut cell monocrystalline HJT module, black backsheet, 1000V max system Vdc",UL 61730,350.0,331.3,,Monocrystalline,Mono-c-Si,1.69,60,2.0,N,10.44,43.2,9.73,36.0,46.0,-0.266,0.037,-0.235,,,1.81,34.65,7.35,34.2,,,,,,-0.10152,0.0038628,Mono-c-SiMonocrystalline,monoSi,2020,False,True,350.28000000000003,0.002,3,-15,1.121,-0.0002677,10.463187403444412,1.0423954933847031e-12,0.2636054683143311,118.68690241737569,1.4447215255478452,-4.18933792417989
126,Panasonic Corporation of North America,EVPV360,"360 W, 120 half-cut cell monocrystalline HJT module, white backsheet, 1000V max system Vdc",UL 61730,360.0,342.0,,Monocrystalline,Mono-c-Si,1.69,60,2.0,N,10.49,43.9,9.82,36.7,44.0,-0.279,0.037,-0.241,,,1.9,35.27,7.59,35.1,,,,,,-0.105799,0.0038813,Mono-c-SiMonocrystalline,monoSi,2020,False,True,360.39400000000006,0.002,3,-15,1.121,-0.0002677,10.507911673360013,1.747367001457098e-12,0.24713499882953377,144.73500531111637,1.4934131885405721,-2.540868385147038
127,Panasonic Corporation of North America,EVPV360K,"360 W, 120 half-cut cell monocrystalline HJT module, black backsheet, 1000V max system Vdc",UL 61730,360.0,341.0,,Monocrystalline,Mono-c-Si,1.69,60,2.0,N,10.49,43.9,9.82,36.7,46.0,-0.266,0.037,-0.235,,,1.82,35.32,7.42,34.9,,,,,,-0.103165,0.0038813,Mono-c-SiMonocrystalline,monoSi,2020,False,True,360.39400000000006,0.002,3,-15,1.121,-0.0002677,10.50885849719453,1.0333646741020125e-12,0.25329104828290105,140.89262096613768,1.4672302301563238,-4.315694083570896
128,Panasonic Corporation of North America,EVPV370,"370 W, 120 half-cut cell monocrystalline HJT module, white backsheet, 1000V max system Vdc",UL 61730,370.0,351.8,,Monocrystalline,Mono-c-Si,1.69,60,2.0,N,10.55,44.1,9.9,37.4,45.5,-0.258,0.034,-0.236,,,1.89,35.65,7.67,35.3,,,,,,-0.104076,0.003587,Mono-c-SiMonocrystalline,monoSi,2020,False,True,370.26,0.002,3,-15,1.121,-0.0002677,10.564064967808921,7.939223266264848e-13,0.1972512244966847,147.95628735457254,1.460718177297075,-6.805762723531658
129,Panasonic Corporation of North America,EVPV370K,"370 W, 120 half-cut cell monocrystalline HJT module, black backsheet, 1000V max system Vdc",UL 61730,370.0,350.7,,Monocrystalline,Mono-c-Si,1.69,60,2.0,N,10.55,44.1,9.9,37.4,46.0,-0.266,0.037,-0.235,,,1.84,36.0,7.48,35.6,,,,,,-0.103635,0.0039035,Mono-c-SiMonocrystalline,monoSi,2021,False,True,370.26,0.002,3,-15,1.121,-0.0002677,10.563406897673348,1.2269089052631077e-12,0.19219671715436026,151.2412055128816,1.482057656085561,-2.9845137511374076
130,Panasonic Corporation of North America,EVPV380,"380 W, 120 half-cut cell monocrystalline HJT module, white backsheet, 1000V max system Vdc",UL 61730,380.0,361.5,,Monocrystalline,Mono-c-Si,1.69,60,2.0,N,10.61,44.3,9.98,38.1,45.5,-0.258,0.034,-0.236,,,1.9,36.32,7.73,35.9,,,,,,-0.104548,0.0036074,Mono-c-SiMonocrystalline,monoSi,2021,False,True,380.23800000000006,0.002,3,-15,1.121,-0.0002677,10.619141317448687,9.376103942715411e-13,0.13735931426818973,159.42803985542838,1.4751136246908667,-5.546740138752098
131,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,HIT-N210A01,210 W HIT Hybrid Amorphous/Monocrystalline Module,UL 1703,210.0,194.9,,Monocrystalline,Mono-c-Si,1.25,72,1.0,N,5.57,50.9,5.09,41.3,46.0,-0.336,0.036,-0.278,0.002,-0.337,1.02,40.48,4.09,38.4,Rack,Flat Plate,0.789,1.58,1.0,-0.141502,0.0020052,Mono-c-SiMonocrystalline,monoSi,1900,False,True,210.217,0.002,3,-15,1.121,-0.0002677,5.594527119700101,7.0055953703980345e-12,0.7579363099319463,172.12397168479418,1.8609382474207121,-0.2817722817284248
132,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,HIT-N215A01,215 W HIT Hybrid Amorphous/Monocrystalline Module,UL 1703,215.0,199.6,,Monocrystalline,Mono-c-Si,1.25,72,1.0,N,5.61,51.6,5.13,42.0,46.0,-0.336,0.036,-0.278,0.002,-0.337,1.03,41.17,4.12,39.1,Rack,Flat Plate,0.789,1.58,1.0,-0.143448,0.0020196,Mono-c-SiMonocrystalline,monoSi,1900,False,True,215.46,0.002,3,-15,1.121,-0.0002677,5.6334364669496155,7.317384498054994e-12,0.7330691500688047,175.47516657560863,1.8890112686070633,0.011822543343525178
133,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN215AA01,215 W HIT Hybrid Amorphous/Monocrystalline Module,UL 1703,215.0,199.6,,Monocrystalline,Mono-c-Si,1.25,72,1.0,N,5.61,51.6,5.13,42.0,46.0,-0.336,0.036,-0.278,0.002,-0.337,1.03,41.17,4.12,39.1,Rack,Flat Plate,0.789,1.58,1.0,-0.143448,0.0020196,Mono-c-SiMonocrystalline,monoSi,1900,False,True,215.46,0.002,3,-15,1.121,-0.0002677,5.6334364669496155,7.317384498054994e-12,0.7330691500688047,175.47516657560863,1.8890112686070633,0.011822543343525178
