Model Number,CEC Listing Date,year
HS280PB-AN1,02.07.2018,2018
HS280SE-V01,,1900
HS280TB-AN3,,1900
HS280TB-AN4,01.09.2017,2017
HS285TB-AN3,,1900
HS285TB-AN4,01.09.2017,2017
HS285UB-AN1 [Wht],01.10.2017,2017
HS290TB-AN3,,1900
HS290TB-AN4,01.09.2017,2017
HS290UB-AN1 [Blk],02.07.2018,2018
HS290UB-AN1 [Wht],01.10.2017,2017
HS295ME-V01,,1900
HS295TB-AN3,,1900
HS295TB-AN4,01.09.2017,2017
HS295UB-AN1 [Blk],02.07.2018,2018
HS295UB-AN1 [Wht],01.10.2017,2017
HS295UB-JH2 [Blk],01.07.2019,2019
HS300ME-V01,,1900
HS300ND-AN3,,1900
HS300TB-AN3,,1900
HS300TB-AN4,01.09.2017,2017
HS300UB-AN1 [Blk],02.07.2018,2018
HS300UB-AN1 [Wht],01.10.2017,2017
HS300UB-JH2 [Blk],01.07.2019,2019
HS305ME-V01,,1900
HS305ND-AN3,,1900
HS305ND-AN4,01.09.2017,2017
HS305SE-V01,,1900
HS305UB-AN1 [Blk],02.07.2018,2018
HS305UB-AN1 [Wht],02.07.2018,2018
HS305UB-JH2 [Blk],01.07.2019,2019
HS305UB-JH2 [Wht],01.07.2019,2019
HS310ME-V01,,1900
HS310ND-AN3,,1900
HS310ND-AN4,01.09.2017,2017
HS310SE-V01,,1900
HS310UB-AN1 [Blk],02.07.2018,2018
HS310UB-AN1 [Wht],02.07.2018,2018
HS310UB-JH2 [Blk],01.07.2019,2019
HS310UB-JH2 [Wht],01.07.2019,2019
HS315ME-V01,,1900
HS315ND-AN3,,1900
HS315ND-AN4,01.09.2017,2017
HS315PD-AN1,02.07.2018,2018
HS315SE-V01,,1900
HS315UB-AN1 [Blk],02.07.2018,2018
HS315UB-AN1 [Wht],02.07.2018,2018
